config,celula,recs,di10_esperado,di10_encontrado,cobertura,n_chaves_universo,chaves_rec_principal
c238,BBOB_F1,c238_gen=200;footer=1;guard=1;header=1;sonda=101,eim_mediana_pool,eim_mediana_pool,1/1,70,criterion;dist_min_arquivo;eim_best;eim_mediana_pool;f_best;fe;fe_iter;fe_treino_max;ga_gens;ga_pop;geracao;infill_sid;iter;lnL;lote;min_dist_infill;modelo_hp;n_amostra;n_dedup;n_eim_nan;n_front;n_front1;n_range0;n_treino;norm_max;norm_min;norm_range_efetivo;rec;s_best;stall_iters;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;theta_max;theta_media;theta_min;ts;u_best;y_best
c262,BBOB_F1,decision=201;footer=2;guard=1;header=1;optimize_acqf_warning=25;sonda=102;timing=201,acqf_todos_restarts;n_baseline;mll_final,acqf_todos_restarts;n_baseline,2/3,114,it;n_acumulado;rec;tempo_fit_s;ts
c311,BBOB_F1,decision=4;footer=2;header=1;sonda=2,n_folhas;profundidade,n_folhas;profundidade,2/2,98,caminho;delta_total_point;early_stop;f_best;fe;geracao;iteracao;motivo;n_acumulado;n_folhas;n_front1;n_gps;profundidade;rec;tempo_busca_s;tempo_fit_s;total_points_per_model;ts
e103,BBOB_F1,decision=1;e103_busca=1;e103_gen=99;e103_setup=1;f_best_dataset=1;footer=1;header=1;sonda=2,divergencia_modelos;margem_3sigma,divergencia_modelos;margem_3sigma,2/2,70,divergencia_modelos;divergencia_modelos_por_obj;f_best;fe;fe_treino_max;geracao;kflag;margem_3sigma_stats;modelo_lider;n_ds_membros;n_front1;n_julgados;n_mse_neg;n_sel;rec;sqrtmse_julgada_max;sqrtmse_sel_max;sqrtmse_surr_max;sqrtmse_surr_med;sqrtmse_surr_min;ts
e7,BBOB_F1,e7_gen=66;footer=1;guard=2;header=1;sonda=35,n_clusters_efetivo;cluster;loss_treino,n_clusters_efetivo;cluster,2/3,63,NW;Ratio;RatioOld;cluster_por_infill;delta;dist_min_arquivo;espaco;f_best;fe;fe_ciclo;fe_treino_max;flag;geracao;lote;modelo_hp;motivo;n_clusters_efetivo;n_dup_infill;n_front1;n_std_neg;n_treino;pop_por_w;ramo;rec;rss_mb;stall_ciclos;tempo_busca_s;tempo_fit_inicial_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts;ymin
e74,BBOB_F1,e74_boot=1;e74_gen=217;footer=1;guard=20;header=1;sonda=75,n_por_nivel;k_local,n_por_nivel;k_local,2/2,75,Ymax;Ymin;aceito;arquivo;cand_classe;cand_dist_dec;cand_eucli;count;dist_min_arquivo;estrategia;f_best;fe;fe_treino_max;flag_copia;frac_nivel1;geracao;hv_base;hv_gain;k_local_efetivo;modelo_hp;n_cand;n_desalinhado;n_front;n_front1;n_por_nivel;n_por_nivel_pop;n_treino;range0;rec;score;score_best;slot_perdido;spr;tempo_busca_s;tempo_fit_s;tempo_geracao_s;tempo_pred_sonda_s;ts
e81,BBOB_F1,decision=200;fit=200;footer=2;header=1;sonda=101,n_train;draws,n_train;draws,2/2,130,dtype;fe_treino_max;fit_retries;geracao;kernel;n_modelos;n_treino;rec;tempo_fit_s;ts
moead,BBOB_F1,decomposicao=1;footer=1;guard=56;header=1;moead_gen=12;seeding=1,ideal;nadir;vetor,ideal;nadir;vetor,3/3,47,fe;maxfe;name;rec;solution_id;ts;x_key
moead_media,BBOB_F1,decision=801;footer=2;header=1;sonda=1,ideal;nadir;vetor,(NENHUM),0/3,84,caminho;f_best;fe;geracao;motivo;n_ds_membros;n_front1;rec;tempo_fit_s;ts
nsga2,BBOB_F1,footer=1;guard=39;header=1;nsga2_gen=11;seeding=1,ideal;nadir,ideal;nadir,2/2,43,fe;maxfe;name;rec;solution_id;ts;x_key
nsga3,BBOB_F1,decomposicao=1;footer=1;guard=24;header=1;nsga3_gen=11;seeding=1,ideal;nadir;vetor,ideal;nadir;vetor,3/3,47,fe;maxfe;name;rec;solution_id;ts;x_key
smsemoa,BBOB_F1,footer=1;guard=21;header=1;seeding=1;smsemoa_gen=11,ideal;nadir,ideal;nadir,2/2,43,fe;name;rec;solution_id;ts;x_key
sobol_batch,q10_DTLZ2,decision=200;footer=2;header=1,(nenhum),(NENHUM),n/a,55,caminho;f_best;fe;geracao;motivo;q;rec;seed_sobol;ts
treed_media,swap_big-lhs_DTLZ2,footer=1;header=1;sonda=1,n_folhas;profundidade,(NENHUM),0/2,84,fe;fe_treino_max;geracao;hash_check;modelo_flag;motivo;n_pontos;rec;sonda_f_hash;sonda_x_hash;tempo_pred_sonda_s;ts
