problema,D,M,U1_fe_exato,U1_fe_index_denso,U1_sid_denso,U1_init,U1_opt,U1_init_ok,U1_opt_ok,U2_ndoe,U2_dX_f32,U2_dX_f64,U2_hash_ok,n_ger_manifesto,n_ger_jsonl,n_ger_pop,n_ger_timing,npop_sempre20,pop_20_por_ger,pop_dup_intra,N_nom,N_ef,dfe_igual20,dfe_total,dfe_valores,n_guards,n_cache_hit,guards_outros,ch_seeding,ch_seeding_sid_unicos,ch_evolucao,cache_hits_manifesto,cache_hits_bate,fechamento,ch_seed_repetido,ch_seed_rep_eh_pos0,ger_formula_T11,ger_formula_T11_ok,ger_formula_antiga,ger_formula_antiga_ok,ger_formula_ceil_F5,ger_formula_ceil_ok,ger_T11_mais1,tres_linhas,tres_cols,fit_series_vazio,sonda_status,sonda_nblocos,sigma_dict_presente,campanha_id_presente,repo_hash,schema_version,quinto_faltando,params_nkeys,params_ger_deriv_novo,n_footer,footer_termino,motivo_parada_no_5,campo_termino_mapa,mapa_termino_confere,evento_ger_mapa_ok,status,di10_campos_exigidos,di10_completo_em,di10_de,T_rows_ok,T_tempo_fit_s_nan,T_tempo_busca_s_nan,T_tempo_pred_sonda_s_nan,T_tger_pos,tempo_total_s,tempo_aval_real_s,soma_tger,tger_le_total,tger_4_eq_6,transicoes,elitismo_viol,entrantes_med,entrantes_max,rec_ideal_ok,rec_nadir_pop_ok,rec_n_front1_ok,rec_nadir_f1_ok,f32_divergentes,f32_dentro_envelope,empates_med_div,empates_med_conc,f_best_eq_ideal,seed_nfrentes_log,seed_nf1_log,seed_nfrentes_rec,seed_nf1_rec,seed_conjunto_ok,seed_f1_excede,patches,parameter_nenhum,operadores_hdr,algo_version,hdr_run_id,hdr_ambiente,hdr_sigma_dict
DTLZ4,12,3,True,True,True,131,240,True,True,131,0.0,2.974925017440455e-08,False,13,13,13,13,True,True,0,20,20,12,12,[20],21,21,[],21,20,0,21,True,True,14,True,12,False,12,False,12,False,True,0,33,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",13,13,True,1.0,1.0,1.0,13,5.437208,0.14219999999999997,1.2030630111694336,True,True,12,0,11.0,14,10,0,0,0,13,13,25.46153846153846,,13,7,23,23,7,False,True,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
DTLZ7,22,3,True,True,True,241,440,True,True,241,0.0,2.9791798028533378e-08,False,23,23,23,23,True,True,0,20,20,22,22,[20],21,21,[],21,20,0,21,True,True,96,True,22,False,22,False,22,False,True,0,43,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",23,23,True,1.0,1.0,1.0,23,5.803301,0.22346799999999986,1.8002029657363892,True,True,22,0,11.318181818181818,14,0,0,13,0,10,23,10.1,13.923076923076923,23,10,21,10,21,True,True,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
MMF1,2,2,True,True,True,21,40,True,True,21,0.0,1.1457521598146059e-07,False,3,3,3,3,True,True,3,20,20,0,2,"[16, 18]",28,27,['hard_stop'],21,20,6,27,True,True,17,True,2,False,2,False,2,False,True,0,21,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",3,3,True,1.0,1.0,1.0,3,4.348017,0.020658,0.3821199834346771,True,True,2,0,8.5,10,0,0,1,0,2,3,5.5,0.0,3,6,7,6,7,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
MMF11_L,2,2,True,True,True,21,40,True,True,21,0.0,5.8479016962209585e-08,False,3,3,3,3,True,True,0,20,20,0,2,"[15, 19]",28,27,['hard_stop'],21,20,6,27,True,True,12,True,2,False,2,False,2,False,True,0,21,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",3,3,True,1.0,1.0,1.0,3,4.141288,0.024429999999999986,0.40766000747680664,True,True,2,0,9.0,9,0,0,2,0,1,2,3.0,1.5,3,3,9,3,9,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
MMF16_20,20,3,True,True,True,219,400,True,True,219,0.0,2.9796276557192414e-08,False,21,21,21,21,True,True,0,20,20,20,20,[20],21,21,[],21,20,0,21,True,True,38,True,20,False,20,False,20,False,True,0,41,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",21,21,True,1.0,1.0,1.0,21,6.347402,0.24396999999999996,2.281952142715454,True,True,20,0,7.25,11,17,0,21,0,0,21,,2.142857142857143,21,7,50,7,50,True,True,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
MMF4,2,2,True,True,True,21,40,True,True,21,0.0,5.4513727754113006e-08,False,3,3,3,3,True,True,2,20,20,0,2,"[17, 19]",27,26,['hard_stop'],21,20,5,26,True,False,8,True,2,False,2,False,2,False,True,0,21,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",3,3,True,1.0,1.0,1.0,3,4.32302,0.021892000000000005,0.4216980040073395,True,True,2,0,9.5,10,0,0,3,0,0,3,,2.3333333333333335,3,4,9,4,9,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
WFG1,22,2,True,True,True,241,440,True,True,241,0.0,1.9048635309104611e-06,False,23,23,23,23,True,True,0,20,20,22,22,[20],21,21,[],21,20,0,21,True,True,169,True,22,False,22,False,22,False,True,0,41,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",23,23,True,1.0,1.0,1.0,23,5.234563,0.3197229999999998,0.981902003288269,True,True,22,0,7.454545454545454,11,0,0,23,0,0,23,,0.0,23,22,18,22,18,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
WFG2,22,2,True,True,True,241,440,True,True,241,0.0,1.9052260000762544e-06,False,23,23,23,23,True,True,0,20,20,22,22,[20],21,21,[],21,20,0,21,True,True,144,True,22,False,22,False,22,False,True,0,41,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",23,23,True,1.0,1.0,1.0,23,5.396768,0.42471,1.1382211446762085,True,True,22,0,7.318181818181818,10,0,0,23,0,0,23,,0.0,23,26,8,26,8,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
WFG4,22,2,True,True,True,241,440,True,True,241,0.0,1.9042712366967862e-06,False,23,23,23,23,True,True,0,20,20,22,22,[20],21,21,[],21,20,0,21,True,True,22,True,22,False,22,False,22,False,True,0,41,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",23,23,True,1.0,1.0,1.0,23,5.306089,0.3559000000000001,1.1290690898895264,True,True,22,0,6.863636363636363,10,0,0,23,0,0,23,,0.0,23,10,30,10,30,True,True,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
WFG5,22,2,True,True,True,241,440,True,True,241,0.0,1.8893242028639179e-06,False,23,23,23,23,True,True,0,20,20,22,22,[20],21,21,[],21,20,0,21,True,True,37,True,22,False,22,False,22,False,True,0,41,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",23,23,True,1.0,1.0,1.0,23,10.574969,0.5275850000000001,1.8633880615234375,True,True,22,0,8.863636363636363,12,0,0,23,0,0,23,,0.0,23,10,36,10,36,True,True,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
WFG9,22,2,True,True,True,241,440,True,True,241,0.0,1.9070339618565413e-06,False,23,23,23,23,True,True,0,20,20,22,22,[20],21,21,[],21,20,0,21,True,True,132,True,22,False,22,False,22,False,True,0,41,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",23,23,True,1.0,1.0,1.0,23,6.866027,1.6289369999999999,1.9674509763717651,True,True,22,0,7.0,11,0,0,23,0,0,23,,0.0,23,11,15,11,15,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
ZDT1,30,2,True,True,True,329,600,True,True,329,0.0,2.978190016822424e-08,False,31,31,31,31,True,True,0,20,20,30,30,[20],21,21,[],21,20,0,21,True,True,261,True,30,False,30,False,30,False,True,0,49,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",31,31,True,1.0,1.0,1.0,31,5.084116,0.285254,1.0671740770339966,True,True,30,0,10.066666666666666,14,0,0,20,0,11,31,6.2727272727272725,1.6,31,19,14,19,14,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
ZDT3,30,2,True,True,True,329,600,True,True,329,0.0,2.9800702572302384e-08,False,31,31,31,31,True,True,0,20,20,30,30,[20],21,21,[],21,20,0,21,True,True,219,True,30,False,30,False,30,False,True,0,49,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",31,31,True,1.0,1.0,1.0,31,5.187616,0.25309500000000157,0.9601819515228271,True,True,30,0,9.3,14,0,0,28,0,3,31,4.0,1.6785714285714286,31,21,12,21,12,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
ZDT4,10,2,True,True,True,109,200,True,True,109,0.0,2.374759207057764e-07,False,11,11,11,11,True,True,0,20,20,10,10,[20],21,21,[],21,20,0,21,True,True,38,True,10,False,10,False,10,False,True,0,29,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",11,11,True,1.0,1.0,1.0,11,4.884245,0.1078709999999999,0.6847559809684753,True,True,10,0,10.1,13,0,0,8,0,3,11,8.666666666666666,8.0,11,17,8,17,8,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
ZDT6,10,2,True,True,True,109,200,True,True,109,0.0,2.979843327644005e-08,False,11,11,11,11,True,True,0,20,20,10,10,[20],21,21,[],21,20,0,21,True,True,5,True,10,False,10,False,10,False,True,0,29,True,nao_se_aplica,0,False,False,,1,"['campanha_id', 'repo_hash', 'sigma_dict']",12,False,1,normal,False,termino,True,True,ok,"['f_best', 'fe', 'n_front1']",11,11,True,1.0,1.0,1.0,11,4.773085,0.11505700000000003,0.6562809348106384,True,True,10,0,11.4,14,0,0,10,0,1,11,8.0,5.4,11,20,7,20,7,True,False,NENHUM — pis,True,Balde C: SBX proC=1 dis_c=20 +,piso-SMSEMOA-PlatEMO4.15,False,False,False
